FID,INSTNAME,CITY,STATE,ZIP
186,Ozarka College,Melbourne,AR,72556
187,University of the Ozarks,Clarksville,AR,72830
188,University of Arkansas Community College-Morrilton,Morrilton,AR,72110
189,Philander Smith College,Little Rock,AR,72202
190,Phillips Community College of the University of Arkansas,Helena,AR,72342
191,Southeast Arkansas College,Pine Bluff,AR,71603
192,Professional Cosmetology Education Center,El Dorado,AR,71730
193,Pulaski Technical College,North Little Rock,AR,72118
194,University of Arkansas Community College-Hope,Hope,AR,71801
195,Rich Mountain Community College,Mena,AR,71953
196,Paul Mitchell the School-Arkansas,Fayetteville,AR,72703
197,Searcy Beauty College Inc,Searcy,AR,72143
198,Shorter College,N Little Rock,AR,72114
199,Williams Baptist College,Walnut Ridge,AR,72476
200,South Arkansas Community College,El Dorado,AR,71731
201,Southern Arkansas University Main Campus,Magnolia,AR,71753
202,Southern Arkansas University Tech,Camden,AR,71701
203,University of Arkansas System Office,Little Rock,AR,72207
204,Velvatex College of Beauty Culture,Little Rock,AR,72202
205,University of Arkansas-Fort Smith,Fort Smith,AR,72913
206,Academy of Art University,San Francisco,CA,94105
207,ITT Technical Institute-Rancho Cordova,Rancho Cordova,CA,95670
208,Academy of Chinese Culture and Health Sciences,Oakland,CA,94612
209,The Academy of Radio and TV Broadcasting,Huntington Beach,CA,92647
210,Avalon School of Cosmetology-Alameda,Alameda,CA,94501
211,College of Alameda,Alameda,CA,94501
212,Allan Hancock College,Santa Maria,CA,93454
213,American Academy of Dramatic Arts-Los Angeles,Los Angeles,CA,90028
214,American Baptist Seminary of the West,Berkeley,CA,94704
215,American Film Institute Conservatory,Los Angeles,CA,90027
216,American Beauty College,West Covina,CA,91790
217,American Career College-Los Angeles,Los Angeles,CA,90004
218,American Conservatory Theater,San Francisco,CA,94108
219,American River College,Sacramento,CA,95841
220,Everest College-Hayward,Hayward,CA,94541
221,Antelope Valley College,Lancaster,CA,93536
222,Art Center College of Design,Pasadena,CA,91103
223,Associated Technical College-Los Angeles,Los Angeles,CA,90017
224,Associated Technical College-San Diego,San Diego,CA,92101
225,Azusa Pacific University,Azusa,CA,91702
226,Bakersfield College,Bakersfield,CA,93305
227,Barstow Community College,Barstow,CA,92311
228,Bellus Academy-National City,National City,CA,91950
229,Bethesda University of California,Anaheim,CA,92801
230,Biola University,La Mirada,CA,90639
231,Brooks Institute,Santa Barbara,CA,93101
