FID,NAME,ADDRESS,CITY,STATE,ZIP
649,RITZ CARLTON GOLF CLUB-DOVE MT,6501 WEST BOULDER BRIDGE PASS,MARANA,AZ,85658
650,TOURNAMENT PLAYERS CLUB STADIUM COURSE,17020 NORTH HAYDEN ROAD,SCOTTSDALE,AZ,85255
651,TRUMP INTERNATIONAL GOLF CLUB,100 CLUBHOUSE DRIVE,RIO GRANDE,PR,745
652,TOURNAMENT PLAYERS CLUB OF SAN ANTONIO,23808 RESORT PARKWAY,SAN ANTONIO,TX,78259
653,BENDER ARENA,4400 NEBRASKA AVENUE NW,WASHINGTON,DC,20016
654,CHRISTL ARENA,700 MILLS ROAD,WEST POINT,NY,10996
655,BUD WALTON ARENA,1207 LEROY POND DRIVE,FAYETTEVILLE,AR,73701
656,ALUMNI GYM,WEST HAGGARD AVENUE AND NORTH WILLIAMSON AVENUE,ELON,NC,27244
657,HOLMES CENTER,111 RIVERS STREET,BOONE,NC,28608
658,AMERICAN BANK CENTER,1901 SHORELINE BOULEVARD,CORPUS CHRISTI,TX,78401
659,CONVOCATION CENTER (ARKANSAS),217 OLYMPIA DRIVE,JONESBORO,AR,72401
660,DAVEY WHITNEY COMPLEX,1000 ASU DRIVE,ALCORN,MS,39096
661,DUNN-OLIVER ACADOME,SOUTH UNIVERSITY DRIVE AND ROBERT C. HATCH DRIVE,MONTGOMERY,AL,36106
662,KENNETH L. JOHNSON COMPLEX,1542 L. A. PREXY DAVIS DRIVE,PINE BLUFF,AR,71601
663,T.M. ELMORE GYMNASIUM,DAVIS ROAD NORTHEAST,NORMAL,AL,35811
664,TACO BELL ARENA,1910 UNIVERSITY DRIVE,BOISE,ID,83725
665,CONVOCATION CENTER (TEXAS),6900 NORTH LOOP 1640 WEST,SAN ANTONIO,TX,78249
666,GERSTEN PAVILION,1 LMU DRIVE,LOS ANGELES,CA,90045
667,WILLIAM R. JOHNSON COLISEUM,EAST COLLEGE STREET AND NORTH UNIVERSITY DRIVE,NACOGDOCHES,TX,75961
668,AGGANIS ARENA,HARRY AGGANIS WAY,BOSTON,MA,2215
669,MAGNESS ARENA,2201 EAST ASBURY AVENUE,DENVER,CO,80210
670,CONSOL ENERGY CENTER,1001 FIFTH AVENUE,PITTSBURGH,PA,15219
671,MITCHELL CENTER,2195 MITCHELL CENTER DRIVE,MOBILE,AL,36608
672,MURPHY CENTER,MIDDLE TENNESSEE BOULEVARD AND DIVISION STREET,MURFREESBORO,TN,37132
673,MCCANN FIELD HOUSE,3399 N RD,POUGHKEEPSIE,NY,12601
674,GALLAGHER CENTER,2009 NIAGARA UNIVERSITY,NIAGARA FALLS,NY,14109
