FID,INSTNAME,CITY,STATE,ZIP
7262,J Renee Career Facilitation,Elgin,IL,60123
7263,National Personal Training Institute of Colorado,Lakewood,CO,80401
7264,National Personal Training Institute of Colorado,Colorado Springs,CO,80918
7265,International College of Beauty Arts & Sciences,Los Angeles,CA,90039
7266,The Salon Professional Academy-Shorewood,Shorewood,IL,60404
7267,John Paul the Great Catholic University,Escondido,CA,92025
7268,ITT Technical Institute-Durham,Durham,NC,27707
7269,ITT Technical Institute-Hanover,Hanover,MD,21076
7270,University of Phoenix-Jackson Campus,Flowood,MS,39232
7271,University of Phoenix-Delaware Campus,Wilmington,DE,19801
7272,Everest College-Milwaukee,Milwaukee,WI,53212
7273,Independence University,Salt Lake City,UT,84107
7274,National American University-Tulsa,Tulsa,OK,74133
7275,National American University-Centennial,Centennial,CO,80122
7276,National American University-Lee's Summit,Lee's Summit,MO,64081
7277,National American University-Colorado Springs South,Colorado Springs,CO,80915
7278,Globe University-Appleton,Grand Chute,WI,54914
7279,Salter College-Chicopee,Chicopee,MA,1020
7280,Chamberlain College of Nursing-Missouri,St. Louis,MO,63146
7281,Chamberlain College of Nursing-Texas,Houston,TX,77041
7282,ITT Technical Institute-Oakland,Oakland,CA,94621
7283,Continental School of Beauty Culture-Mattydale,Mattydale,NY,13211
7284,Everest College-Bedford Park,Bedford Park,IL,60629
7285,Fortis College-Akron,Akron,OH,44310
7286,Carrington College California-Pomona,Pomona,CA,91768
7287,Regency Beauty Institute-Copperwood,Houston,TX,77084
7288,Regency Beauty Institute-Little Rock,Little Rock,AR,72205
7289,Regency Beauty Institute-Baltimore Golden Ring,Baltimore,MD,21237
7290,Regency Beauty Institute-El Paso,El Paso,TX,79925
7291,Regency Beauty Institute-Jacksonville Regency,Jacksonville,FL,32225
7292,Regency Beauty Institute-Knoxville,Knoxville,TN,37919
7293,Regency Beauty Institute-Fayetteville,Fayetteville,AR,72703
7294,Regency Beauty Institute-Lansing,Lansing,MI,48912
7295,Regency Beauty Institute-Jacksonville Orange Park,Orange Park,FL,32073
7296,Regency Beauty Institute-Crystal Lake,Crystal Lake,IL,60014
7297,Regency Beauty Institute-Manassas,Manassas,VA,20109
7298,Regency Beauty Institute-Castleton,Indianapolis,IN,46250
7299,Regency Beauty Institute-North Nashville,Madison,TN,37115
7300,Regency Beauty Institute-Round Rock,Round Rock,TX,78681
7301,Regency Beauty Institute-Merrillville,Merrillville,IN,46410
7302,Regency Beauty Institute-Roanoke,Roanoke,VA,24012
7303,Regency Beauty Institute-Toledo,Holland,OH,43528
7304,Regency Beauty Institute-SW Houston,Houston,TX,77036
7305,Everest College-Atlanta West,Atlanta,GA,30331
7306,Broadview University-Boise,Meridian,ID,83642
7307,Advanced Institute of Hair Design-Madison,Madison,WI,53715
7308,Paul Mitchell The School-Columbia,Columbia,SC,29201
7309,Paul Mitchell The School-Charleston,North Charleston,SC,29418
7310,Everest College-Melrose Park,Melrose Park,IL,60160
7311,Kenneth Shuler School of Cosmetology-Greenville,Greenville,SC,29611
7312,South University-Accelerated Graduate Programs,Atlanta,GA,30328
7313,South University-The Art Institute of Fort Worth,Fort Worth,TX,76116
7314,South University-Novi,Novi,MI,48377
7315,Northwest College-Eugene,Eugene,OR,97401
7316,Northwest College-Tualatin,Tualatin,OR,97062
7317,Harrison College-Morrisville,Morrisville,NC,27560
7318,Trend Setters' Academy of Beauty Culture-Louisville,Louisville,KY,40219
7319,National University College-Caguas,Caguas,PR,725
7320,Beauty Schools of America,Miami Beach,FL,33139
7321,CET-Soledad,Soledad,CA,93960
7322,MarJon School of Beauty ltd-Lockport,Lockport,NY,14094
7323,Houston Training Schools-Southwest,Houston,TX,77074
7324,Vanguard College of Cosmetology-Metairie,Metairie,LA,70002
7325,New England Tractor Trailer Training School of Massachusetts,North Andover,MA,1845
7326,Heritage College-Columbus,Columbus,OH,43213
7327,Utah College of Massage Therapy-Vegas,Las Vegas,NV,89123
7328,Utah College of Massage Therapy-Tempe,Tempe,AZ,85282
7329,Utah College of Massage Therapy-Phoenix,Phoenix,AZ,85051
7330,Utah College of Massage Therapy-Westminster,Westminster,CO,80031
7331,Utah College of Massage Therapy-Aurora,Aurora,CO,80012
7332,Sanford-Brown College-Portland,Portland,OR,97205
7333,Tint School of Makeup and Cosmetology-Grand Prairie,Grand Prairie,TX,75051
7334,Dewey University-Yabucoa,Yabucoa,PR,767
7335,Dewey University-Hatillo,Hatillo,PR,659
7336,Dewey University-Manati,Manati,PR,674
7337,Sanford-Brown College-Skokie,Skokie,IL,60077
7338,Baltimore School of Massage-York,York,PA,17402
7339,Allen School-Phoenix,Phoenix,AZ,85053
7340,Oklahoma Technical College,Tulsa,OK,74145
7341,Midwest Technical Institute-Moline,Moline,IL,61265
7342,Star Career Academy-Clifton,Clifton,NJ,7011
7343,Unitech Training Academy-Alexandria,Alexandria,LA,71301
7344,Unitech Training Academy-Lake Charles,Lake Charles,LA,70601
7345,Aveda Institute-Los Angeles,Los Angeles,CA,90024
7346,Career Quest Learning Center-Kalamazoo,Kalamazoo,MI,49002
7347,Buchanan Beauty College,Tullahoma,TN,37388
7348,WellSpring School of Allied Health-Lawrence,Lawrence,KS,66045
7349,The Art Institute of Wisconsin,Milwaukee,WI,53202
7350,Brown Mackie College-Birmingham,Birmingham,AL,35209
7351,Regina's College of Beauty,Augusta,GA,30906
7352,New York Film Academy,Universal City,CA,91608
7353,Manuel and Theresa's School of Hair Design-Victoria,Victoria,TX,77902
7354,Coast Career Institute,Colton,CA,92324
7355,Tricoci University of Beauty Culture-Chicago NE,Chicago,IL,60626
7356,ITT Technical Institute-Bradenton,Bradenton,FL,34201
7357,ITT Technical Institute-Phoenix West,Phoenix,AZ,85037
7358,ITT Technical Institute-Brooklyn Center,Brooklyn Center,MN,55430
7359,ITT Technical Institute-Orlando,Orlando,FL,32819
7360,ITT Technical Institute-Waco,Waco,TX,76706
7361,ITT Technical Institute-Myrtle Beach,Myrtle Beach,SC,29572
7362,University of Phoenix-Knoxville Campus,Knoxville,TN,37932
7363,Azusa Pacific Online University,Glendora,CA,91740
7364,Minneapolis Media Institute,Edina,MN,55435
7365,College America-Phoenix,Phoenix,AZ,85051
7366,CollegeAmerica-Stevens Henager College,Idaho Falls,ID,83402
7367,Avalon School of Cosmetology-Phoenix,Phoenix,AZ,85022
7368,Avalon School of Cosmetology-Layton,Layton,UT,84041
7369,Hair Design Institute,Boynton Beach,FL,33435
7370,Hair Design Institute,Apopka,FL,32703
7371,University of Phoenix-Baton Rouge Campus,Baton Rouge,LA,70808
7372,University of Phoenix-Lafayette Campus,Lafayette,LA,70508
7373,University of Phoenix-Shreveport-Bossier Campus,Bossier City,LA,71111
7374,All-State Career School-Allied Health Campus,Essington,PA,19029
7375,Aveda Institute-Des Moines,West Des Moines,IA,50266
7376,Fortis Institute-Lawrenceville,Lawrenceville,NJ,8648
7377,Relay Graduate School of Education,New York,NY,10011
7378,Brown Mackie College-Oklahoma City,Oklahoma City,OK,73132
7379,Sanford-Brown College-Austin,Austin,TX,78753
7380,Miller-Motte Technical College-Macon,Macon,GA,31210
7381,Miller-Motte Technical College-Gulfport,Gulfport,MS,39503
7382,International Academy of Medical Reflexology,Allentown,PA,18109
7383,International Culinary Center-California,Campbell,CA,95008
7384,South University_Savannah Online,Savannah,GA,31406
7385,Fortis College-Montgomery,Montgomery,AL,36117
7386,San Joaquin Valley College-Temecula,Temecula,CA,92590
7387,Rio Grande Bible Institute,Edinburg,TX,78539
7388,Miller-Motte Technical College-Roanoke,Roanoke,VA,24018
7389,Whitworth University-Adult Degree Programs,Spokane,WA,99251
7390,The Santa Barbara and Ventura Colleges of Law_Santa Barbara,Santa Barbara,CA,93101
7391,The University of America,Murrieta,CA,92563
7392,Kaplan College-Chesapeake,Chesapeake,VA,23320
7393,American Broadcasting School-Online Program,Oklahoma City,OK,73115
7394,Springfield College-School of Human Services,Springfield,MA,1109
7395,Marian Health Careers Center-Van Nuys Campus,Van Nuys,CA,91411
7396,Brown College-Brooklyn Center,Brooklyn Center,MN,55430
7397,Milan Institute-Las Vegas,Las Vegas,NV,89106
7398,Williamson Free School of Mechanical Trades,Media,PA,19063
7399,Virginia College-Savannah,Savannah,GA,31419
7400,Virginia College-Columbus,Columbus,GA,31904
7401,Donna's Academy of Hair Design,Smithville,MO,64089
7402,New York School of Esthetics & Day Spa,Tarrytown,NY,10591
7403,Panache Academy of Beauty,Baraboo,WI,53913
7404,Finger Lakes Health College of Nursing,Geneva,NY,14456
7405,ASI Career Institute,Turnersville,NJ,8012
7406,Chicago School for Piano Technology,Chicago,IL,60612
7407,Midwest Technical Institute-Ridgeland,Ridgeland,MS,39157
7408,Christine Valmy International School of Esthetics & Cosmetology,Pine Brook,NJ,7058
7409,City College-Hollywood,Hollywood,FL,33024
