FID,NAME,ADDRESS,CITY,STATE,ZIP
181,DASKALAKIS ATHLETIC CENTER,33RD STREET AND MARKET STREET,PHILADELPHIA,PA,19104
182,FRED C. YAGER STADIUM,BONHAM ROAD AND SHADOW HILLS DRIVE,OXFORD,OH,45056
183,KAPLAN ARENA,500 LANDRUM DRIVE,WILLIAMSBURG,VA,23185
184,GLASS BOWL,STADIUM DRIVE AND NORTH GLASS BOWL DRIVE,TOLEDO,OH,43606
185,REED GREEN COLISEUM,112 COLISEUM DRIVE,HATTIESBURG,MS,39401
186,PENDEN STADIUM,SOUTH GREEN DRIVE AND RICHLAND AVENUE,ATHENS,OH,45701
187,CAM HENDERSON CENTER,19TH STREET AND 3RD AVENUE,HUNTINGTON,WV,25703
188,BOONE PICKENS STADIUM,WEST HALL OF FAME AVENUE AND HESTER STREET,STILLWATER,OK,74078
189,DON HASKINS CENTER,500 WEST UNIVERSITY AVENUE,EL PASO,TX,79902
190,GAYLORD FAMILY-OKLAHOMA MEMORIAL STADIUM,SOUTH JENKINS AVENUE AND EAST BROOKS STREET,NORMAN,OK,73019
191,FEDEX FORUM,191 BEALE STREET,MEMPHIS,TN,38103
192,SKELLY FIELD AT H.A. CHAPMAN STADIUM,3131 EAST 11TH STREET,TULSA,OK,74104
193,DEVLIN FIELDHOUSE,MCALISTER AT FRERET STREET,NEW ORLEANS,LA,70118
194,BARTOW ARENA,617 13TH STREET SOUTH,BIRMINGHAM,AL,35233
195,AUTZEN STADIUM,2727 LEO HARRIS PARKWAY,EUGENE,OR,97401
196,HOFHEINZ PAVILION,3875 HOLMAN STREET,HOUSTON,TX,77004
197,RESER STADIUM,2600 SW WESTERN BOULEVARD,CORVALLIS,OR,97331
198,BEEGHLY PHYSICAL EDUCATION CENTER,WEST SPRING STREET AND ELM STREET,YOUNGSTOWN,OH,44502
199,BEAVER STADIUM,CURTIN ROAD AND PORTER ROAD,STATE COLLEGE,PA,16802
200,CALIHAN HALL,4001 W. MCNICHOLS RD,DETROIT,MI,48221
201,MEMORIAL STADIUM (SOUTH CAROLINA),WILLIAMSON DRIVE AND AVENUE OF CHAMPIONS,CLEMSON,SC,29634
202,NUTTER CENTER,3640 COLONEL GLENN HIGHWAY,DAYTON,OH,45324
203,WILLIAMS BRICE STADIUM,1127 GEORGE ROGERS BOULEVARD,COLUMBIA,SC,29201
204,LIBERTY BOWL MEMORIAL STADIUM,335 SOUTH HOLLYWOOD STREET,MEMPHIS,TN,38104
205,HINKLE FIELDHOUSE,510 WEST 49TH STREET,INDIANAPOLIS,IN,46208
206,JOSEPH J. GENTILE CENTER,6525 NORTH SHERIDAN ROAD,CHICAGO,IL,60626
207,NEYLAND STADIUM,TEE MARTIN DRIVE,KNOXVILLE,TN,37996
208,VANDERBILT STADIUM,JESS NEELY DRIVE AND NATCHEZ TRANCE,NASHVILLE,TN,37212
209,BISON SPORTS ARENA,NORTH UNIVERSITY DRIVE AND 17TH AVENUE NORTH,FARGO,ND,58102
210,"JOHNNY ""RED"" FLOYD STADIUM",FAULKINBERRY DRIVE AND NORMAL WAY,MURFREESBORO,TN,37132
211,FROST ARENA,16TH AVENUE AND 11TH STREET,BROOKINGS,SD,57006
212,DARRELL K. ROYAL-TEXAS MEMORIAL STADIUM,405 EAST 23RD STREET,AUSTIN,TX,78712
213,WILLET HALL,REDFORD STREET AND SPRUCE STREET,FARMVILLE,VA,23901
214,JONES AT&T STADIUM,DRIVE OF CHAMPIONS AND BOSTON AVENUE,LUBBOCK,TX,79409
215,JONES CONVOCATION CENTER,9501 SOUTH KING DR,CHICAGO,IL,60628
216,KYLE FIELD,JOE ROUTT BOULEVARD,COLLEGE STATION,TX,77843
217,JADWIN GYMNASIUM,FITZRANDOLPH RD AND FACULTY RD,PRINCETON,NJ,8544
218,LAVIETES PAVILION,NORTH HARVARD STREET AND SOLDIER FIELDS ROAD,CAMBRIDGE,MA,2134
219,GERALD J. FORD STADIUM,5801 AIRLINE ROAD,DALLAS,TX,75205
220,LEEDE ARENA,SOUTH PARK STREET AND EAST WHEELOCK STREET,HANOVER,NH,3755
221,RICE STADIUM,STADIUM ROAD,HOUSTON,TX,77005
222,DRADDY GYMNASIUM,W 244TH ST,RIVERDALE,NY,10471
223,REITZ ARENA,COLD SPRINGS LANE AND MILLERBROOK ROAD,BALTIMORE,MD,21212
224,SUN BOWL STADIUM,SUN BOWL DRIVE,EL PASO,TX,79986
225,AMON G. CARTER STADIUM,2724 HIGHVIEW TERRACE,FORT WORTH,TX,76129
226,DUNN CENTER,ROBB AVENUE AND MARION STREET,CLARKSVILLE,TN,37040
227,LAVELL EDWARDS STADIUM,1700 NORTH CANYON DRIVE,PROVO,UT,84604
228,ELLIS JOHNSON ARENA,ELLIS T. JOHNSON ARENA,MOREHEAD,KY,40351
229,PETE HANNA CENTER,800 LAKESHORE DRIVE,BIRMINGHAM,AL,35229
230,RICE-ECCLES STADIUM,451 SOUTH 1400 EAST,SALT LAKE CITY,UT,84102
231,GENTRY CENTER,3500 JOHN A. MERRITT BOULEVARD,NASHVILLE,TN,37209
