FID,NAME,POP_2010,STATE
841,Fort Fairfield,1825,ME
842,Lawson,-999,AR
843,Fort Kent,2488,ME
844,Mount Holly,-999,AR
845,Houlton,4856,ME
846,Childs,-999,AZ
847,Limestone,1075,ME
848,Cochise,-999,AZ
849,Madawaska,2967,ME
850,Dos Cabezas,-999,AZ
851,Van Buren,1937,ME
852,Fairbank,-999,AZ
853,Beach,1019,ND
854,Gleeson,-999,AZ
855,Sentinel Butte,56,ND
856,Steele,715,ND
857,Hereford,-999,AZ
858,Tappen,197,ND
859,Circle D-KC Estates,2393,TX
860,Tuttle,80,ND
861,New Orleans,343829,LA
862,Woodworth,50,ND
863,Taft Southwest,1460,TX
864,Cleveland,83,ND
865,Sun City Center,19258,FL
866,Courtenay,45,ND
867,La Feria North,212,TX
868,Spiritwood Lake,90,ND
869,Davis Dam,-999,AZ
870,Streeter,170,ND
871,Ephraim,288,WI
872,Yale,1955,MI
873,Bismarck,61272,ND
874,Wayne,17593,MI
875,Wing,152,ND
876,Center,571,ND
877,Westland,84094,MI
878,Wimbledon,216,ND
879,Woodhaven,12875,MI
880,Wyandotte,25883,MI
881,Rogers,46,ND
882,Rolette,594,ND
883,Sanborn,192,ND
884,Rolla,1280,ND
885,Sibley,30,ND
886,Saint John,341,ND
887,Oxbow,305,ND
888,Westhope,429,ND
889,Ayr,17,ND
890,Willow City,163,ND
891,West Fargo,25830,ND
892,Souris,58,ND
893,Tower City,253,ND
894,Bathgate,43,ND
895,Belfield,800,ND
896,South Heart,301,ND
897,Cavalier,1302,ND
898,Saint Thomas,331,ND
899,Taylor,148,ND
900,Wakefield,1851,MI
901,Walhalla,996,ND
902,Bisbee,126,ND
903,Bessemer,1905,MI
904,Ironwood,5387,MI
905,Sarles,28,ND
906,Wales,31,ND
907,Strasburg,409,ND
908,Columbus,133,ND
909,Berlin,34,ND
910,Sheldon,116,ND
911,Sherwood,242,ND
912,Abercrombie,263,ND
913,Tolley,47,ND
914,Barney,52,ND
915,Berthold,454,ND
916,Ryder,85,ND
917,Wyndmere,429,ND
918,Sawyer,357,ND
919,Christine,150,ND
920,Colfax,121,ND
921,Surrey,934,ND
922,Wildrose,110,ND
923,Walcott,235,ND
924,Williston,14716,ND
925,Hurley,1547,WI
926,Montreal,807,WI
927,Tioga,1230,ND
928,Balfour,26,ND
929,Anson,752,ME
930,Bingham,758,ME
931,Bantry,14,ND
932,Bergen,7,ND
933,Fairfield,2638,ME
934,Hartland,813,ME
935,Towner,533,ND
936,Madison,2630,ME
937,White Earth,80,ND
938,Norridgewock,1438,ME
939,Ross,97,ND
940,Stanley,1458,ND
941,Pittsfield,3150,ME
942,Balta,65,ND
943,Skowhegan,6297,ME
944,Dover-Foxcroft,2528,ME
945,Wolford,36,ND
946,Rugby,2876,ND
947,Greenville,1257,ME
948,Guilford,903,ME
949,Devils Lake,7141,ND
950,Churchs Ferry,12,ND
951,Milo,1847,ME
952,Starkweather,117,ND
953,Manistique,3097,MI
954,Selfridge,160,ND
955,Adams,127,ND
956,Conway,23,ND
957,Solen,83,ND
958,York,23,ND
959,Caspian,906,MI
960,Warwick,65,ND
961,Crystal Falls,1469,MI
962,Tolna,166,ND
963,Gaastra,347,MI
964,Thompson,986,ND
965,Iron River,3029,MI
966,Watford City,1744,ND
967,Dexter,2158,ME
968,Benedict,66,ND
969,East Millinocket,1567,ME
970,Wilton,711,ND
971,Hampden,4343,ME
972,Coleharbor,79,ND
973,Ruso,4,ND
974,Howland,1096,ME
975,Turtle Lake,581,ND
976,Lincoln,2884,ME
977,Underwood,778,ND
978,Milford,2233,ME
979,Washburn,1246,ND
980,Millinocket,4466,ME
981,Newport,1776,ME
982,Orono,9474,ME
983,Eagle River,1398,WI
984,Cayuga,27,ND
985,Cogswell,99,ND
986,Rutland,163,ND
987,Ashley,749,ND
988,Wishek,1002,ND
989,Zeeland,86,ND
990,Scranton,281,ND
991,Norway,2845,MI
992,Iron Mountain,7624,MI
993,Kingsford,5133,MI
994,Siren,806,WI
995,Webster,653,WI
996,Grantsburg,1341,WI
997,Winter,313,WI
998,Hayward,2318,WI
999,Exeland,196,WI
1000,Couderay,88,WI
1001,Belknap,104,IL
1002,Goreville,1049,IL
1003,Cypress,234,IL
1004,New Burnside,211,IL
1005,Greer,25515,SC
1006,Simpson,60,IL
1007,Five Points,689,NC
1008,Cobden,1157,IL
1009,Ashley Heights,380,NC
1010,Dongola,726,IL
1011,Bowmore,103,NC
1012,Mill Creek,65,IL
1013,Silver City,882,NC
