FID,NAME,POP_2010,STATE
34901,Barrow,4212,AK
34902,Candelaria Arenas,4818,PR
34903,Perryville,113,AK
34904,Anderson,246,AK
34905,Hawi,1081,HI
34906,Logan,99,MT
34907,Kaktovik,239,AK
34908,Candelaria,16760,PR
34909,Marysville,80,MT
34910,Port Alsworth,159,AK
34911,Hilo,43263,HI
34912,Sedan,99,MT
34913,Anchorage,291826,AK
34914,Ugashik,12,AK
34915,Bethel,3713,WA
34916,Nuiqsut,402,AK
34917,Ingenio,5354,PR
34918,Chignik,91,AK
34919,Burley,2057,WA
34920,Cooke City,75,MT
34921,Gakona,218,AK
34922,Holualoa,8538,HI
34923,Point Hope,674,AK
34924,Culebra,1590,PR
34925,Egegik,109,AK
34926,Corwin Springs,109,MT
34927,Enetai,2286,WA
34928,Glennallen,483,AK
34929,Honalo,2423,HI
34930,Shungnak,262,AK
34931,Luquillo,7761,PR
34932,Noatak,514,AK
34933,Playa Fortuna,1690,PR
34934,Gulkana,119,AK
34935,Honoka'a,2258,HI
34936,Emigrant,488,MT
34937,Gorst,592,WA
34938,Newhalen,190,AK
34939,Hansville,3091,WA
34940,Nondalton,164,AK
34941,Honomu,509,HI
34942,Pray,681,MT
34943,Red Dog Mine,309,AK
34944,Ramos,1821,PR
34945,Kenny Lake,355,AK
34947,Ambler,258,AK
34948,McCarthy,28,AK
34949,Kailua,11975,HI
34950,Silver Gate,20,MT
34951,Keyport,554,WA
34952,Pilot Point,68,AK
34953,Mentasta Lake,112,AK
34954,Su_rez,1931,PR
34955,Buckland,416,AK
34956,Springdale,42,MT
34957,Lofall,2289,WA
34958,Port Heiden,102,AK
34959,Kea'au,2253,HI
34960,Chisana,0,AK
34961,Maunabo,1668,PR
34962,Deering,122,AK
34963,Karluk,37,AK
34964,Alzada,29,MT
34965,Seabeck,1105,WA
34966,Laupahoehoe,581,HI
34967,Chistochina,93,AK
34968,Palo Seco,1008,PR
34969,Kiana,361,AK
34970,Akhiok,71,AK
34971,Fern Prairie,1884,WA
34972,Southworth,2185,WA
34973,Chitina,126,AK
34974,Emajagua,2857,PR
34975,Kivalina,374,AK
34976,Prairie City,23,SD
34977,Copper Center,328,AK
34978,Kobuk,151,AK
34979,Palmer,1032,PR
34980,Bath,172,SD
34981,Valdez,3976,AK
34982,Kotzebue,3201,AK
34983,Bath Corner,49,SD
34984,Whittier,220,AK
34985,Noorvik,668,AK
34986,Selawik,829,AK
34987,Ferney,43,SD
34988,Paxson,40,AK
34989,Shaktoolik,251,AK
34990,Agency Village,181,SD
34991,Slana,147,AK
34992,Shishmaref,563,AK
34993,Goodwill,513,SD
34994,Tatitlek,88,AK
34995,Stebbins,556,AK
34996,Long Hollow,192,SD
34997,Teller,229,AK
34998,Kidder,57,SD
34999,Pony,118,MT
35000,Biddle,41,MT
35001,Long Island,-999,AK
35002,Bairoa,-999,PR
35003,Sumidero,-999,PR
35004,Charlotte Amalie,-999,VI
35005,Cruz Bay,-999,VI
35006,Christiansted,-999,VI
35007,Frederiksted,-999,VI
35008,Cottondale,-999,AL
35009,North Haverhill,-999,NH
35010,Clinton,928,WA
35011,Martinville,-999,AR
35012,Trona,-999,CA
35013,Mana,-999,HI
35014,Kamalo,-999,HI
35015,Kipahulu,-999,HI
35016,Mahukona,-999,HI
35018,University Park,-999,IL
35019,Long Beach,1179,IN
35020,Great Falls,-999,MD
35021,Hubbard Lake,1002,MI
35022,Tomnolen,-999,MS
35023,Fairview,-999,NJ
35024,Pottersville,-999,NJ
35025,Glenville,-999,NY
35026,The Village of Indian Hill,-999,OH
35027,Five Points,-999,PA
35028,Monahans,-999,TX
35029,Wrangell,-999,AK
35030,Meyers Chuck,-999,AK
35031,Adelaide,-999,WA
35032,Grapeview,954,WA
35033,Edmonds,39709,WA
35034,Woodway,1307,WA
35035,Georgetown,-999,WA
35036,Mackinaw City,806,MI
35037,Mount Baldy,-999,CA
35038,Gateway,-999,CO
35039,West Frostproof,-999,FL
35040,Garden Lakes,-999,GA
35041,Gibson City,3407,IL
35043,Boquillas Crossing,-999,TX
35044,Cape Yakataga,-999,AK
35045,Hawk Inlet,-999,AK
35046,Lignite,-999,AK
35047,Montana,-999,AK
35048,New Tokeen,-999,AK
35049,Brooke,-999,VA
35050,Ridgecrest,-999,WA
35051,Yoman,-999,WA
35052,Sunnyslope,3252,WA
35053,Wolf,-999,WY
35054,Emory,-999,GA
35055,Broad Pass (historical),-999,AK
35056,Continental Divide,-999,NM
35057,Quarry,-999,TX
35058,Weloka,-999,HI
35059,Rheem,-999,CA
35060,Enos Corner,-999,IN
35061,Rocky Ridge Ranch,-999,MO
35062,Deep Gap,-999,NC
35063,Isla,-999,TX
35064,Isle au Haut,-999,ME
35065,Village of Four Seasons,2217,MO
35066,Country Club Village,2449,MO
35067,Cobalt Village,226,MO
35068,South West City,970,MO
35069,Loch Lloyd,600,MO
35070,Columbia,891,NH
35071,Merrimack,4197,NH
35072,Gann Valley,14,SD
35073,Witten,79,SD
35074,Manderson,626,SD
35075,Lakewood (historical),2302,TN
35076,Parkers Crossroads,330,TN
35077,Three Way,1709,TN
35078,Soddy-Daisy,12714,TN
